time,x_des,z_des
8.251,0.457676617098201,0.364543893835383
8.252,0.457679340285851,0.364523296365611
8.253,0.457682053864497,0.364502727757651
8.254,0.457684757861013,0.364482187997258
8.255,0.457687452302224,0.364461677070151
8.256,0.4576901372149,0.364441194962008
8.257,0.457692812625762,0.364420741658473
8.258,0.457695478561478,0.364400317145149
8.259,0.457698135048664,0.364379921407603
8.26,0.457700782113883,0.364359554431362
8.261,0.45770341978365,0.364339216201918
8.262,0.457706048084424,0.364318906704725
8.263,0.457708667042616,0.364298625925198
8.264,0.457711276684582,0.364278373848716
8.265,0.457713877036629,0.364258150460622
8.266,0.457716468125012,0.364237955746219
8.267,0.457719049975933,0.364217789690775
8.268,0.457721622615544,0.364197652279521
8.269,0.457724186069946,0.364177543497651
8.27,0.457726740365186,0.364157463330322
8.271,0.457729285527262,0.364137411762654
8.272,0.457731821582121,0.364117388779732
8.273,0.457734348555657,0.364097394366603
8.274,0.457736866473712,0.364077428508279
8.275,0.45773937536208,0.364057491189735
8.276,0.457741875246502,0.36403758239591
8.277,0.457744366152667,0.364017702111706
8.278,0.457746848106214,0.363997850321992
8.279,0.457749321132731,0.363978027011598
8.28,0.457751785257754,0.36395823216532
8.281,0.457754240506768,0.363938465767918
8.282,0.45775668690521,0.363918727804116
8.283,0.457759124478461,0.363899018258604
8.284,0.457761553251856,0.363879337116034
8.285,0.457763973250676,0.363859684361026
8.286,0.457766384500151,0.363840059978162
8.287,0.457768787025464,0.363820463951991
8.288,0.457771180851743,0.363800896267025
8.289,0.457773566004066,0.363781356907744
8.29,0.457775942507464,0.363761845858591
8.291,0.457778310386912,0.363742363103974
8.292,0.457780669667339,0.363722908628269
8.293,0.45778302037362,0.363703482415814
8.294,0.457785362530582,0.363684084450915
8.295,0.457787696163001,0.363664714717844
8.296,0.457790021295602,0.363645373200838
8.297,0.457792337953058,0.363626059884098
8.298,0.457794646159996,0.363606774751795
8.299,0.457796945940989,0.363587517788063
8.3,0.45779923732056,0.363568288977002
8.301,0.457801520323185,0.363549088302681
8.302,0.457803794973285,0.363529915749133
8.303,0.457806061295235,0.363510771300358
8.304,0.457808319313358,0.363491654940324
8.305,0.457810569051926,0.363472566652962
8.306,0.457812810535164,0.363453506422174
8.307,0.457815043787245,0.363434474231826
8.308,0.457817268832291,0.363415470065752
8.309,0.457819485694376,0.363396493907753
8.31,0.457821694397524,0.363377545741597
8.311,0.457823894965709,0.363358625551019
8.312,0.457826087422854,0.363339733319721
8.313,0.457828271792834,0.363320869031374
8.314,0.457830448099474,0.363302032669614
8.315,0.457832616366548,0.363283224218046
8.316,0.457834776617782,0.363264443660244
8.317,0.457836928876851,0.363245690979747
8.318,0.457839073167383,0.363226966160063
8.319,0.457841209512954,0.363208269184668
8.32,0.457843337937091,0.363189600037007
8.321,0.457845458463273,0.363170958700491
8.322,0.457847571114928,0.363152345158501
8.323,0.457849675915436,0.363133759394386
8.324,0.457851772888128,0.363115201391462
8.325,0.457853862056283,0.363096671133016
8.326,0.457855943443134,0.363078168602301
8.327,0.457858017071864,0.36305969378254
8.328,0.457860082965606,0.363041246656925
8.329,0.457862141147446,0.363022827208617
8.33,0.457864191640418,0.363004435420743
8.331,0.45786623446751,0.362986071276403
8.332,0.45786826965166,0.362967734758664
8.333,0.457870297215756,0.362949425850563
8.334,0.45787231718264,0.362931144535106
8.335,0.457874329575101,0.362912890795267
8.336,0.457876334415884,0.362894664613992
8.337,0.457878331727682,0.362876465974196
8.338,0.457880321533141,0.362858294858761
8.339,0.457882303854858,0.362840151250543
8.34,0.457884278715381,0.362822035132363
8.341,0.457886246137211,0.362803946487016
8.342,0.457888206142798,0.362785885297266
8.343,0.457890158754546,0.362767851545845
8.344,0.457892103994809,0.362749845215458
8.345,0.457894041885895,0.362731866288778
8.346,0.457895972450062,0.36271391474845
8.347,0.457897895709518,0.362695990577089
8.348,0.457899811686428,0.36267809375728
8.349,0.457901720402904,0.362660224271579
8.35,0.457903621881011,0.362642382102512
8.351,0.457905516142769,0.362624567232577
8.352,0.457907403210146,0.362606779644243
8.353,0.457909283105065,0.362589019319948
8.354,0.457911155849399,0.362571286242104
8.355,0.457913021464975,0.36255358039309
8.356,0.457914879973571,0.362535901755262
8.357,0.457916731396917,0.362518250310941
8.358,0.457918575756698,0.362500626042424
8.359,0.457920413074547,0.362483028931978
8.36,0.457922243372054,0.362465458961841
8.361,0.457924066670758,0.362447916114224
8.362,0.457925882992151,0.362430400371308
8.363,0.457927692357681,0.362412911715247
8.364,0.457929494788743,0.362395450128167
8.365,0.45793129030669,0.362378015592166
8.366,0.457933078932824,0.362360608089312
8.367,0.457934860688401,0.36234322760165
8.368,0.457936635594631,0.362325874111191
8.369,0.457938403672675,0.362308547599924
8.37,0.457940164943648,0.362291248049808
8.371,0.457941919428617,0.362273975442772
8.372,0.457943667148604,0.362256729760723
8.373,0.457945408124581,0.362239510985537
8.374,0.457947142377476,0.362222319099063
8.375,0.457948869928169,0.362205154083123
8.376,0.457950590797493,0.362188015919514
8.377,0.457952305006234,0.362170904590004
8.378,0.457954012575132,0.362153820076334
8.379,0.45795571352488,0.362136762360219
8.38,0.457957407876124,0.362119731423347
8.381,0.457959095649466,0.36210272724738
8.382,0.457960776865457,0.362085749813952
8.383,0.457962451544606,0.362068799104671
8.384,0.457964119707372,0.362051875101121
8.385,0.457965781374171,0.362034977784856
8.386,0.45796743656537,0.362018107137406
8.387,0.45796908530129,0.362001263140275
8.388,0.457970727602209,0.361984445774939
8.389,0.457972363488354,0.36196765502285
8.39,0.457973992979909,0.361950890865433
8.391,0.457975616097013,0.361934153284089
8.392,0.457977232859755,0.36191744226019
8.393,0.457978843288182,0.361900757775086
8.394,0.457980447402293,0.361884099810099
8.395,0.457982045222042,0.361867468346527
8.396,0.457983636767337,0.361850863365641
8.397,0.45798522205804,0.361834284848687
8.398,0.457986801113968,0.361817732776888
8.399,0.457988373954891,0.361801207131439
8.4,0.457989940600536,0.361784707893512
8.401,0.457991501070581,0.361768235044253
8.402,0.457993055384662,0.361751788564782
8.403,0.457994603562366,0.361735368436197
8.404,0.45799614562324,0.36171897463957
8.405,0.457997681586779,0.361702607155946
8.406,0.457999211472438,0.361686265966349
8.407,0.458000735299624,0.361669951051777
8.408,0.458002253087701,0.361653662393204
8.409,0.458003764855985,0.361637399971578
8.41,0.458005270623751,0.361621163767824
8.411,0.458006770410224,0.361604953762844
8.412,0.458008264234588,0.361588769937514
8.413,0.458009752115981,0.361572612272687
8.414,0.458011234073496,0.361556480749192
8.415,0.458012710126181,0.361540375347833
8.416,0.45801418029304,0.361524296049392
8.417,0.458015644593031,0.361508242834627
8.418,0.458017103045069,0.361492215684271
8.419,0.458018555668023,0.361476214579034
8.42,0.458020002480719,0.361460239499604
8.421,0.458021443501938,0.361444290426644
8.422,0.458022878750416,0.361428367340794
8.423,0.458024308244844,0.361412470222671
8.424,0.458025732003872,0.36139659905287
8.425,0.458027150046101,0.361380753811961
8.426,0.458028562390092,0.361364934480491
8.427,0.45802996905436,0.361349141038987
8.428,0.458031370057376,0.361333373467949
8.429,0.458032765417567,0.361317631747858
8.43,0.458034155153316,0.36130191585917
8.431,0.458035539282963,0.361286225782319
8.432,0.458036917824802,0.361270561497717
8.433,0.458038290797087,0.361254922985753
8.434,0.458039658218024,0.361239310226794
8.435,0.458041020105778,0.361223723201185
8.436,0.458042376478469,0.361208161889248
8.437,0.458043727354175,0.361192626271283
8.438,0.458045072750928,0.361177116327569
8.439,0.45804641268672,0.361161632038362
8.44,0.458047747179496,0.361146173383895
8.441,0.45804907624716,0.361130740344383
8.442,0.458050399907573,0.361115332900015
8.443,0.458051718178549,0.361099951030961
8.444,0.458053031077865,0.361084594717369
8.445,0.458054338623248,0.361069263939364
8.446,0.458055640832388,0.361053958677051
8.447,0.458056937722929,0.361038678910514
8.448,0.458058229312471,0.361023424619815
8.449,0.458059515618574,0.361008195784995
8.45,0.458060796658752,0.360992992386072
8.451,0.45806207245048,0.360977814403047
8.452,0.458063343011186,0.360962661815897
8.453,0.458064608358259,0.360947534604578
8.454,0.458065868509043,0.360932432749027
8.455,0.45806712348084,0.360917356229159
8.456,0.458068373290911,0.360902305024868
8.457,0.458069617956472,0.36088727911603
8.458,0.458070857494699,0.360872278482496
8.459,0.458072091922723,0.360857303104101
8.46,0.458073321257636,0.360842352960657
8.461,0.458074545516485,0.360827428031956
8.462,0.458075764716277,0.360812528297771
8.463,0.458076978873974,0.360797653737854
8.464,0.458078188006498,0.360782804331937
8.465,0.45807939213073,0.360767980059731
8.466,0.458080591263507,0.360753180900929
8.467,0.458081785421625,0.360738406835204
8.468,0.458082974621838,0.360723657842207
8.469,0.458084158880858,0.360708933901572
8.47,0.458085338215356,0.360694234992912
8.471,0.458086512641961,0.360679561095819
8.472,0.45808768217726,0.36066491218987
