time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate
7.95,0,0,0,0,-0.344960948122317,0
7.951,0,0,0,0,-0.345517432755324,0
7.952,0,0,0,0,-0.346072622745391,0
7.953,0,0,0,0,-0.3466265163381,0
7.954,0,0,0,0,-0.347179111785814,0
7.955,0,0,0,0,-0.347730407347688,0
7.956,0,0,0,0,-0.34828040128968,0
7.957,0,0,0,0,-0.348829091884554,0
7.958,0,0,0,0,-0.349376477411892,0
7.959,0,0,0,0,-0.349922556158099,0
7.96,0,0,0,0,-0.350467326416418,0
7.961,0,0,0,0,-0.351010786486928,0
7.962,0,0,0,0,-0.351552934676559,0
7.963,0,0,0,0,-0.352093769299098,0
7.964,0,0,0,0,-0.352633288675197,0
7.965,0,0,0,0,-0.353171491132379,0
7.966,0,0,0,0,-0.35370837500505,0
7.967,0,0,0,0,-0.354243938634505,0
7.968,0,0,0,0,-0.35477818036893,0
7.969,0,0,0,0,-0.35531109856342,0
7.97,0,0,0,0,-0.355842691579981,0
7.971,0,0,0,0,-0.356372957787535,0
7.972,0,0,0,0,-0.356901895561931,0
7.973,0,0,0,0,-0.357429503285957,0
7.974,0,0,0,0,-0.357955779349337,0
7.975,0,0,0,0,-0.358480722148747,0
7.976,0,0,0,0,-0.359004330087818,0
7.977,0,0,0,0,-0.359526601577147,0
7.978,0,0,0,0,-0.3600475350343,0
7.979,0,0,0,0,-0.360567128883823,0
7.98,0,0,0,0,-0.361085381557247,0
7.981,0,0,0,0,-0.361602291493097,0
7.982,0,0,0,0,-0.362117857136895,0
7.983,0,0,0,0,-0.362632076941176,0
7.984,0,0,0,0,-0.363144949365483,0
7.985,0,0,0,0,-0.363656472876385,0
7.986,0,0,0,0,-0.364166645947476,0
7.987,0,0,0,0,-0.364675467059388,0
7.988,0,0,0,0,-0.365182934699793,0
7.989,0,0,0,0,-0.365689047363414,0
7.99,0,0,0,0,-0.366193803552028,0
7.991,0,0,0,0,-0.366697201774476,0
7.992,0,0,0,0,-0.367199240546669,0
7.993,0,0,0,0,-0.367699918391592,0
7.994,0,0,0,0,-0.368199233839313,0
7.995,0,0,0,0,-0.368697185426992,0
