time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0.37,0,-3.85220744192338e-11,2.47185735008371e-06,0,9.57580813825909e-07,0,0,-9.13814857322669e-10,2.77993573934943e-05,0,1.07692891246644e-05,0,0.026
0.38,0,-4.7660209112621e-11,2.74985092402202e-06,0,1.06527370507255e-06,0,0,-1.09801886008388e-09,3.00784572815844e-05,0,1.16521989159589e-05,0,0.026
0.39,0,-5.86403703373151e-11,3.05063549682627e-06,0,1.18179569423214e-06,0,0,-1.3132105224699e-09,3.24784860716072e-05,0,1.25819561222895e-05,0,0.026
0.4,0,-7.177247685064e-11,3.37542035760974e-06,0,1.30761525545504e-06,0,0,-1.56353170383823e-09,3.50025241246917e-05,0,1.35597541090802e-05,0,0.026
0.41,0,-8.74078032175873e-11,3.72544559884558e-06,0,1.44321279654584e-06,0,0,-1.85364692617907e-09,3.76536474137669e-05,0,1.45867845476614e-05,0,0.026
0.42,0,-1.05944253370183e-10,4.10198207306811e-06,0,1.58908064202245e-06,0,0,-2.18867076670957e-09,4.0434927322401e-05,0,1.56642373377967e-05,0,0.026
0.43,0,-1.27830968033038e-10,4.50633134624345e-06,0,1.74572301540042e-06,0,0,-2.57433929897271e-09,4.33494307292667e-05,0,1.67933006408808e-05,0,0.026
0.44,0,-1.53574375438836e-10,4.93982565358264e-06,0,1.91365602180923e-06,0,0,-3.01669254783271e-09,4.64002194849811e-05,0,1.7975160677771e-05,0,0.026
0.45,0,-1.837412999528e-10,5.40382784847138e-06,0,2.09340762858694e-06,0,0,-3.52268958225315e-09,4.95903510480746e-05,0,1.92110019756817e-05,0,0.026
0.46,0,-2.18968176923795e-10,5.89973135894928e-06,0,2.28551764834375e-06,0,0,-4.09962379499294e-09,5.29228776417693e-05,0,2.05020070420722e-05,0,0.026
0.47,0,-2.59964438864557e-10,6.42896013530736e-06,0,2.49053771876448e-06,0,0,-4.75564851170689e-09,5.6400846707927e-05,0,2.18493565410769e-05,0,0.026
0.48,0,-3.07520897635527e-10,6.99296860234844e-06,0,2.70903128417524e-06,0,0,-5.49956924553219e-09,6.00273006093557e-05,0,2.32542291787764e-05,0,0.026
0.49,0,-3.62516572316451e-10,7.59324160853891e-06,0,2.94157357596301e-06,0,0,-6.34099102966041e-09,6.38052766197175e-05,0,2.4717801699912e-05,0,0.026
0.5,0,-4.25926460767556e-10,8.23129437471648e-06,0,3.18875159296213e-06,0,0,-7.29026549554565e-09,6.77378067296996e-05,0,2.62412488134445e-05,0,0.026
0.51,0,-4.98829089146113e-10,8.90867244190963e-06,0,3.45116408109657e-06,0,0,-8.3586819493443e-09,7.18279177978977e-05,0,2.78257432516819e-05,0,0.026
0.52,0,-5.82415893291e-10,9.6269516198233e-06,0,3.72942151361339e-06,0,0,-9.55843597272654e-09,7.60786313188492e-05,0,2.94724556811179e-05,0,0.026
