time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d
0.935,0,0,0,0,0.322073544582613,0,0,0,0,0,0.169136065207582,0
0.936,0,0,0,0,0.322242426304262,0,0,0,0,0,0.168627333641279,0
0.937,0,0,0,0,0.322410799161134,0,0,0,0,0,0.168118335789399,0
0.938,0,0,0,0,0.322578662887346,0,0,0,0,0,0.16760907245572,0
0.939,0,0,0,0,0.322746017217819,0,0,0,0,0,0.167099544444437,0
0.94,0,0,0,0,0.322912861888278,0,0,0,0,0,0.166589752560165,0
0.941,0,0,0,0,0.32307919663525,0,0,0,0,0,0.166079697607934,0
0.942,0,0,0,0,0.323245021196073,0,0,0,0,0,0.165569380393192,0
0.943,0,0,0,0,0.323410335308885,0,0,0,0,0,0.165058801721799,0
0.944,0,0,0,0,0.323575138712633,0,0,0,0,0,0.164547962400027,0
0.945,0,0,0,0,0.32373943114707,0,0,0,0,0,0.164036863234563,0
0.946,0,0,0,0,0.323903212352756,0,0,0,0,0,0.163525505032502,0
0.947,0,0,0,0,0.324066482071059,0,0,0,0,0,0.163013888601347,0
0.948,0,0,0,0,0.324229240044152,0,0,0,0,0,0.162502014749012,0
0.949,0,0,0,0,0.324391486015019,0,0,0,0,0,0.161989884283814,0
0.95,0,0,0,0,0.324553219727452,0,0,0,0,0,0.161477498014478,0
0.951,0,0,0,0,0.32471444092605,0,0,0,0,0,0.160964856750131,0
0.952,0,0,0,0,0.324875149356223,0,0,0,0,0,0.160451961300305,0
0.953,0,0,0,0,0.325035344764192,0,0,0,0,0,0.15993881247493,0
0.954,0,0,0,0,0.325195026896985,0,0,0,0,0,0.15942541108434,0
0.955,0,0,0,0,0.325354195502442,0,0,0,0,0,0.158911757939264,0
0.956,0,0,0,0,0.325512850329216,0,0,0,0,0,0.158397853850832,0
0.957,0,0,0,0,0.325670991126767,0,0,0,0,0,0.157883699630568,0
0.958,0,0,0,0,0.32582861764537,0,0,0,0,0,0.157369296090391,0
0.959,0,0,0,0,0.325985729636112,0,0,0,0,0,0.156854644042616,0
0.96,0,0,0,0,0.32614232685089,0,0,0,0,0,0.156339744299948,0
0.961,0,0,0,0,0.326298409042418,0,0,0,0,0,0.155824597675483,0
0.962,0,0,0,0,0.326453975964218,0,0,0,0,0,0.15530920498271,0
0.963,0,0,0,0,0.326609027370632,0,0,0,0,0,0.154793567035502,0
0.964,0,0,0,0,0.326763563016809,0,0,0,0,0,0.154277684648124,0
0.965,0,0,0,0,0.326917582658719,0,0,0,0,0,0.153761558635223,0
0.966,0,0,0,0,0.327071086053143,0,0,0,0,0,0.153245189811833,0
0.967,0,0,0,0,0.327224072957678,0,0,0,0,0,0.152728578993371,0
0.968,0,0,0,0,0.327376543130737,0,0,0,0,0,0.152211726995636,0
0.969,0,0,0,0,0.327528496331548,0,0,0,0,0,0.151694634634807,0
0.97,0,0,0,0,0.327679932320157,0,0,0,0,0,0.151177302727445,0
0.971,0,0,0,0,0.327830850857427,0,0,0,0,0,0.150659732090487,0
0.972,0,0,0,0,0.327981251705034,0,0,0,0,0,0.150141923541247,0
0.973,0,0,0,0,0.328131134625477,0,0,0,0,0,0.149623877897416,0
0.974,0,0,0,0,0.32828049938207,0,0,0,0,0,0.149105595977058,0
0.975,0,0,0,0,0.328429345738946,0,0,0,0,0,0.148587078598613,0
0.976,0,0,0,0,0.328577673461054,0,0,0,0,0,0.148068326580888,0
0.977,0,0,0,0,0.328725482314167,0,0,0,0,0,0.147549340743065,0
0.978,0,0,0,0,0.328872772064874,0,0,0,0,0,0.147030121904693,0
0.979,0,0,0,0,0.329019542480583,0,0,0,0,0,0.14651067088569,0
0.98,0,0,0,0,0.329165793329525,0,0,0,0,0,0.145990988506339,0
0.981,0,0,0,0,0.329311524380749,0,0,0,0,0,0.14547107558729,0
0.982,0,0,0,0,0.329456735404127,0,0,0,0,0,0.144950932949556,0
0.983,0,0,0,0,0.329601426170349,0,0,0,0,0,0.144430561414514,0
0.984,0,0,0,0,0.32974559645093,0,0,0,0,0,0.143909961803901,0
0.985,0,0,0,0,0.329889246018206,0,0,0,0,0,0.143389134939815,0
0.986,0,0,0,0,0.330032374645333,0,0,0,0,0,0.142868081644714,0
0.987,0,0,0,0,0.330174982106293,0,0,0,0,0,0.14234680274141,0
0.988,0,0,0,0,0.330317068175888,0,0,0,0,0,0.141825299053075,0
0.989,0,0,0,0,0.330458632629745,0,0,0,0,0,0.141303571403234,0
0.99,0,0,0,0,0.330599675244315,0,0,0,0,0,0.140781620615766,0
0.991,0,0,0,0,0.330740195796872,0,0,0,0,0,0.140259447514904,0
0.992,0,0,0,0,0.330880194065515,0,0,0,0,0,0.139737052925228,0
0.993,0,0,0,0,0.331019669829168,0,0,0,0,0,0.139214437671673,0
0.994,0,0,0,0,0.331158622867579,0,0,0,0,0,0.138691602579518,0
0.995,0,0,0,0,0.331297052961323,0,0,0,0,0,0.138168548474392,0
0.996,0,0,0,0,0.331434959891799,0,0,0,0,0,0.137645276182268,0
0.997,0,0,0,0,0.331572343441233,0,0,0,0,0,0.137121786529465,0
0.998,0,0,0,0,0.33170920339268,0,0,0,0,0,0.136598080342645,0
0.999,0,0,0,0,0.331845539530016,0,0,0,0,0,0.13607415844881,0
1,0,0,0,0,0.331981351637951,0,0,0,0,0,0.135550021675306,0
1.001,0,0,0,0,0.332116639502016,0,0,0,0,0,0.135025670849815,0
1.002,0,0,0,0,0.332251402908576,0,0,0,0,0,0.13450110680036,0
1.003,0,0,0,0,0.332385641644819,0,0,0,0,0,0.133976330355298,0
1.004,0,0,0,0,0.332519355498764,0,0,0,0,0,0.133451342343323,0
1.005,0,0,0,0,0.332652544259259,0,0,0,0,0,0.132926143593463,0
