time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0.109,0,-1.29279920102476e-12,4.54483133516259e-07,0,1.7606361927425e-07,0,0,-9.80245974453288e-11,1.69025469227992e-05,0,6.54793031156417e-06,0,0.026
0.11,0,-1.39083189409916e-12,4.71385680433922e-07,0,1.82611549585814e-07,0,0,-1.04232990343867e-10,1.73694967644561e-05,0,6.72882351498822e-06,0,0.026
0.111,0,-1.49508183611147e-12,4.88755177163736e-07,0,1.89340373100802e-07,0,0,-1.11267192158258e-10,1.7844958551475e-05,0,6.91301419155978e-06,0,0.026
0.112,0,-1.60632618317891e-12,5.06600135785629e-07,0,1.96253387292362e-07,0,0,-1.18235788055949e-10,1.83290080561239e-05,0,7.10053169514788e-06,0,0.026
0.113,0,-1.72456493530149e-12,5.24929143874697e-07,0,2.0335391898751e-07,0,0,-1.2580217075612e-10,1.88217222141716e-05,0,7.29140583036181e-06,0,0.026
0.114,0,-1.85035320399152e-12,5.43750866055515e-07,0,2.10645324817872e-07,0,0,-1.33741102800763e-10,1.93231770936012e-05,0,7.48566606564493e-06,0,0.026
0.115,0,-1.98407956730762e-12,5.63074043113954e-07,0,2.18130990883517e-07,0,0,-1.42271495654361e-10,1.98334495509504e-05,0,7.68334217492957e-06,0,0.026
0.116,0,-2.12635464791333e-12,5.8290749266332e-07,0,2.25814333058446e-07,0,0,-1.50945755960699e-10,2.03526150822293e-05,0,7.88446340509782e-06,0,0.026
0.117,0,-2.27728946811112e-12,6.03260107812087e-07,0,2.33698796463544e-07,0,0,-1.60426824235134e-10,2.08807508593053e-05,0,8.0890596522564e-06,0,0.026
0.118,0,-2.43771669516946e-12,6.24140858718203e-07,0,2.41787856115801e-07,0,0,-1.70044738032003e-10,2.14179327524103e-05,0,8.2971603082763e-06,0,0.026
0.119,0,-2.6077473513908e-12,6.45558791478873e-07,0,2.50085016424077e-07,0,0,-1.80240064204826e-10,2.1964237006593e-05,0,8.50879491023952e-06,0,0.026
0.12,0,-2.78799205943869e-12,6.67523028574646e-07,0,2.58593811334316e-07,0,0,-1.91453241830401e-10,2.25197405764297e-05,0,8.72399327010395e-06,0,0.026
0.121,0,-2.9794500200353e-12,6.90042769091459e-07,0,2.6731780460442e-07,0,0,-2.02347536933251e-10,2.30845185627378e-05,0,8.9427844817035e-06,0,0.026
0.122,0,-3.18178816627324e-12,7.13127287610416e-07,0,2.76260589086124e-07,0,0,-2.14695908394997e-10,2.36586486299656e-05,0,9.16519863201568e-06,0,0.026
0.123,0,-3.39650529923574e-12,7.36785936206186e-07,0,2.8542578771814e-07,0,0,-2.27161352448252e-10,2.42422057603838e-05,0,9.3912647689709e-06,0,0.026
0.124,0,-3.62365693007405e-12,7.61028142004516e-07,0,2.94817052487111e-07,0,0,-2.40183768173398e-10,2.48352667897519e-05,0,9.62101265853914e-06,0,0.026
0.125,0,-3.8638536814517e-12,7.85863408736542e-07,0,3.0443806514565e-07,0,0,-2.53980781747422e-10,2.54379077453873e-05,0,9.85447175351641e-06,0,0.026
0.126,0,-4.11781719833471e-12,8.11301316516744e-07,0,3.14292536899166e-07,0,0,-2.68769871134018e-10,2.60502053641149e-05,0,1.00916717815683e-05,0,0.026
0.127,0,-4.38660219259646e-12,8.37351521842944e-07,0,3.24384208680734e-07,0,0,-2.83657713051326e-10,2.66722345883583e-05,0,1.03326417752327e-05,0,0.026
0.128,0,-4.67026417538818e-12,8.64023756486088e-07,0,3.34716850455967e-07,0,0,-2.99750002239015e-10,2.73040730223134e-05,0,1.05774117982122e-05,0,0.026
0.129,0,-4.97002439203698e-12,8.91327829488642e-07,0,3.45294262254179e-07,0,0,-3.16375234468306e-10,2.79457954701832e-05,0,1.08260108295228e-05,0,0.026
0.13,0,-5.28638244290391e-12,9.1927362494415e-07,0,3.56120273083702e-07,0,0,-3.33972393170946e-10,2.85974792399133e-05,0,1.10784688181257e-05,0,0.026
0.131,0,-5.62033752871116e-12,9.47871104217679e-07,0,3.67198741901828e-07,0,0,-3.52091777891751e-10,2.92591992340223e-05,0,1.13348147811488e-05,0,0.026
0.132,0,-5.97244476097103e-12,9.77130303503326e-07,0,3.78533556682977e-07,0,0,-3.71394168788636e-10,2.99310325039366e-05,0,1.15950785682049e-05,0,0.026
0.133,0,-6.34381436270814e-12,1.00706133604467e-06,0,3.90128635251181e-07,0,0,-3.91429521660791e-10,3.06130546614865e-05,0,1.18592894712303e-05,0,0.026
0.134,0,-6.73522349003974e-12,1.03767439080249e-06,0,4.01987924722412e-07,0,0,-4.12414006681855e-10,3.13053418508061e-05,0,1.21274769883858e-05,0,0.026
0.135,0,-7.14761583253676e-12,1.06897973267683e-06,0,4.14115401710798e-07,0,0,-4.34341482835943e-10,3.20079698806536e-05,0,1.23996704879233e-05,0,0.026
0.136,0,-7.58193507977012e-12,1.10098770250699e-06,0,4.26515072198721e-07,0,0,-4.5698349249721e-10,3.2721014815785e-05,0,1.26758994372809e-05,0,0.026
0.137,0,-8.03890287670583e-12,1.13370871729357e-06,0,4.39190971636002e-07,0,0,-4.81222042209118e-10,3.34445530957081e-05,0,1.29561934490874e-05,0,0.026
0.138,0,-8.52012904672961e-12,1.1671532704205e-06,0,4.52147165085089e-07,0,0,-5.06161900371372e-10,3.41786601340382e-05,0,1.32405817385621e-05,0,0.026
0.139,0,-9.02627972365622e-12,1.20133193054484e-06,0,4.65387746823651e-07,0,0,-5.32240421565711e-10,3.49234119360527e-05,0,1.35290937501457e-05,0,0.026
0.14,0,-9.55852064166152e-12,1.23625534248495e-06,0,4.78916840573797e-07,0,0,-5.59450496062191e-10,3.56788846643667e-05,0,1.38217589892455e-05,0,0.026
0.141,0,-1.01179620237701e-11,1.27193422722049e-06,0,4.92738599563043e-07,0,0,-5.87784809504031e-10,3.64451537717344e-05,0,1.41186066862895e-05,0,0.026
0.142,0,-1.07057696041579e-11,1.30837938100425e-06,0,5.06857206249332e-07,0,0,-6.17680094816359e-10,3.72222960907422e-05,0,1.44196666062591e-05,0,0.026
0.143,0,-1.13234421839081e-11,1.34560167713849e-06,0,5.21276872855591e-07,0,0,-6.48684351230225e-10,3.80103864033274e-05,0,1.47249677197448e-05,0,0.026
0.144,0,-1.19721454971966e-11,1.38361206353244e-06,0,5.36001840575336e-07,0,0,-6.80567485744456e-10,3.88095006543315e-05,0,1.50345394478545e-05,0,0.026
0.145,0,-1.26527122112918e-11,1.42242156425665e-06,0,5.51036380023191e-07,0,0,-7.14431963807108e-10,3.96197157350581e-05,0,1.5348411578367e-05,0,0.026
0.146,0,-1.33671407276381e-11,1.46204127998706e-06,0,5.66384791601558e-07,0,0,-7.49602980083819e-10,4.04411063281259e-05,0,1.56666130434484e-05,0,0.026
0.147,0,-1.4116763313865e-11,1.50248238622863e-06,0,5.82051404645006e-07,0,0,-7.85849753463389e-10,4.12737483776866e-05,0,1.59891732639918e-05,0,0.026
0.148,0,-1.49026346818459e-11,1.54375613464763e-06,0,5.98040577908998e-07,0,0,-8.24051917649676e-10,4.21177182025939e-05,0,1.63161218060661e-05,0,0.026
0.149,0,-1.5726697721874e-11,1.58587385284958e-06,0,6.14356699715064e-07,0,0,-8.63533948632934e-10,4.29730910761263e-05,0,1.66474878307094e-05,0,0.026
0.15,0,-1.65902291904274e-11,1.62884694393517e-06,0,6.31004187545773e-07,0,0,-9.04730727751214e-10,4.38399426462547e-05,0,1.69833006441324e-05,0,0.026
0.151,0,-1.74949499331944e-11,1.67268688650024e-06,0,6.47987488189906e-07,0,0,-9.47632618555712e-10,4.47183490730619e-05,0,1.73235897509537e-05,0,0.026
0.152,0,-1.84425807958633e-11,1.71740523552399e-06,0,6.65311077940859e-07,0,0,-9.92229728893636e-10,4.5608385570167e-05,0,1.76683842891577e-05,0,0.026
0.153,0,-1.94347871129708e-11,1.7630136210367e-06,0,6.82979462230017e-07,0,0,-1.03851190110217e-09,4.65101278240266e-05,0,1.80177135799232e-05,0,0.026
0.154,0,-2.04732897302051e-11,1.80952374878585e-06,0,7.0099717580994e-07,0,0,-1.08691296858069e-09,4.74236519546653e-05,0,1.8371607112411e-05,0,0.026
0.155,0,-2.15601980713132e-11,1.85694740068021e-06,0,7.19368782922351e-07,0,0,-1.13675583956998e-09,4.83490327606866e-05,0,1.87300938638923e-05,0,0.026
0.156,0,-2.26969554262269e-11,1.9052964334576e-06,0,7.38098876786243e-07,0,0,-1.18914018435489e-09,4.92863468940408e-05,0,1.90932035296349e-05,0,0.026
0.157,0,-2.38861153079029e-11,1.95458278046123e-06,0,7.57192080315878e-07,0,0,-1.24316621598669e-09,5.02356688175702e-05,0,1.94609649568816e-05,0,0.026
0.158,0,-2.51292875397269e-11,2.0048184491972e-06,0,7.7665304527276e-07,0,0,-1.2994887674147e-09,5.11970748670852e-05,0,1.98334077184729e-05,0,0.026
0.159,0,-2.64288035900506e-11,2.05601552399903e-06,0,7.96486452991233e-07,0,0,-1.35787385574602e-09,5.21706400373211e-05,0,2.02105608677484e-05,0,0.026
0.16,0,-2.77866618603184e-11,2.1081861640293e-06,0,8.16697013858981e-07,0,0,-1.41830932379828e-09,5.31564401310067e-05,0,2.05924537710819e-05,0,0.026
